'tempo': 26076,{'stateEstimate.x': 5.857967376708984, 'stateEstimate.y': 2.2865700721740723, 'stateEstimate.z': 0.05559026822447777, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3565264940261841, 'stabilizer.pitch': 0.5915646553039551, 'stabilizer.yaw': 15.751002311706543}#
'tempo': 26086,{'stateEstimate.x': 5.858218669891357, 'stateEstimate.y': 2.286647319793701, 'stateEstimate.z': 0.05448228493332863, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36395081877708435, 'stabilizer.pitch': 0.5298437476158142, 'stabilizer.yaw': 15.749865531921387}#
'tempo': 26096,{'stateEstimate.x': 5.858220100402832, 'stateEstimate.y': 2.286651849746704, 'stateEstimate.z': 0.05447894707322121, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36690372228622437, 'stabilizer.pitch': 0.5458905696868896, 'stabilizer.yaw': 15.730568885803223}#
'tempo': 26106,{'stateEstimate.x': 5.858213901519775, 'stateEstimate.y': 2.2866454124450684, 'stateEstimate.z': 0.054463908076286316, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3718480169773102, 'stabilizer.pitch': 0.563730776309967, 'stabilizer.yaw': 15.713146209716797}#
'tempo': 26116,{'stateEstimate.x': 5.85756778717041, 'stateEstimate.y': 2.2862050533294678, 'stateEstimate.z': 0.05457407981157303, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.4386034607887268, 'stabilizer.pitch': 0.764556348323822, 'stabilizer.yaw': 15.679266929626465}#
'tempo': 26126,{'stateEstimate.x': 5.858678340911865, 'stateEstimate.y': 2.2867746353149414, 'stateEstimate.z': 0.054401639848947525, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36025843024253845, 'stabilizer.pitch': 0.4131888151168823, 'stabilizer.yaw': 15.696270942687988}#
'tempo': 26136,{'stateEstimate.x': 5.857551574707031, 'stateEstimate.y': 2.286196708679199, 'stateEstimate.z': 0.05602947622537613, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.4277968108654022, 'stabilizer.pitch': 0.7765099406242371, 'stabilizer.yaw': 15.656179428100586}#
'tempo': 26146,{'stateEstimate.x': 5.857944488525391, 'stateEstimate.y': 2.2865543365478516, 'stateEstimate.z': 0.056914910674095154, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3523642420768738, 'stabilizer.pitch': 0.6116225719451904, 'stabilizer.yaw': 15.641998291015625}#
'tempo': 26156,{'stateEstimate.x': 5.858181476593018, 'stateEstimate.y': 2.28661847114563, 'stateEstimate.z': 0.05699959024786949, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.35997673869132996, 'stabilizer.pitch': 0.5469568967819214, 'stabilizer.yaw': 15.638840675354004}#
'tempo': 26166,{'stateEstimate.x': 5.858170032501221, 'stateEstimate.y': 2.2866170406341553, 'stateEstimate.z': 0.05714074894785881, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3649948537349701, 'stabilizer.pitch': 0.5662417411804199, 'stabilizer.yaw': 15.621808052062988}#
