192764,0.118983,-0.383297,0.042803,-0.341040,0.231884,-0.966999
192774,0.119228,-0.383783,0.041955,-0.284515,0.191444,-0.966670
192784,0.118152,-0.382164,0.043799,-0.754670,0.486425,-0.908164
192794,0.117108,-0.380859,0.039143,-1.062044,0.700185,-0.846084
192804,0.119247,-0.384779,0.039792,0.035197,0.099159,-1.065509
192814,0.117758,-0.382236,0.050730,-0.705613,0.481212,-0.882935
192824,0.117752,-0.382482,0.051393,-0.607853,0.443305,-0.930826
192834,0.117993,-0.381750,0.051334,-0.780452,0.326404,-0.964999
192844,0.117967,-0.382757,0.053600,-0.460440,0.351004,-1.157420
192854,0.118867,-0.381385,0.035145,-0.993890,0.058300,-1.099530
192864,0.119235,-0.380892,0.035379,-0.837250,0.095474,-1.421008
192874,0.117786,-0.380982,0.037513,-0.714461,0.558221,-1.502538
192884,0.118997,-0.381989,0.041460,-0.388458,0.166998,-1.403193
192894,0.113030,-0.385719,0.041814,0.526777,1.631517,-1.374345
192904,0.113531,-0.385979,0.049059,0.310674,1.136402,-1.335658
192914,0.112745,-0.385148,0.056003,-0.040151,1.090523,-1.099992
192924,0.114325,-0.385379,0.060710,-0.231309,0.432499,-1.270378
192934,0.112569,-0.385058,0.063491,-0.211459,0.789273,-0.978113
192944,0.111677,-0.383340,0.063034,-0.737734,0.687232,-0.767597
192954,0.116948,-0.378207,0.030022,-1.755661,-0.482265,-0.586039
192964,0.116254,-0.379663,0.056448,-1.033167,-0.185683,-0.670821
192974,0.115472,-0.373350,0.052549,-2.509239,0.251620,-0.949428
192984,0.114895,-0.371992,0.070343,-2.095385,0.345856,-0.780297
192994,0.116936,-0.370156,0.095775,-1.277492,-1.124546,1.005566
193004,0.118416,-0.370754,0.075465,-1.051600,-0.999051,0.798994
193014,0.120320,-0.366635,0.079715,-2.077806,-0.698304,-0.231377
193024,0.120162,-0.364925,0.088748,-1.904702,-0.176932,-0.559833
193034,0.118719,-0.365196,0.104551,-1.124134,0.136077,-0.256228
193044,0.120016,-0.359434,0.116365,-2.300870,0.180547,-1.039394
193054,0.119775,-0.363120,0.100089,-0.757247,-0.464649,0.275084
193064,0.118893,-0.368450,0.091253,0.789227,-0.453632,0.953157
193074,0.120236,-0.366409,0.105398,0.336037,-0.494235,0.575163
193084,0.121207,-0.365841,0.110607,0.114124,-0.441140,0.333885
193094,0.120641,-0.365717,0.114721,0.115948,-0.193929,0.346492
193104,0.129842,-0.365610,0.087651,-1.190033,-1.789242,-1.651407
193114,0.129001,-0.360268,0.103977,-2.156096,-0.514606,-2.633877
193124,0.129653,-0.358792,0.120725,-1.770386,-0.529446,-2.056259
193134,0.129522,-0.357561,0.124382,-1.520153,-0.343354,-2.404700
